172.20.0.3|2025-11-14T02:12:04.738185818Z|2025-11-14T02:12:05.087627512Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed||Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T02:12:30.451701227Z|2025-11-14T02:12:30.502730907Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed||Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T02:13:25.393328204Z|2025-11-14T02:13:53.349650519Z|test001||||||||false|||||finish|||0a872996902980cf6667ecb9c063c472004773d4326313377153b52887b3b0ae|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T02:14:04.233206235Z|2025-11-14T02:14:20.722815463Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp|||||||false|false||Redirect|POST||Responder|urn:oasis:names:tc:SAML:2.0:status:NoAuthnContext|0a872996902980cf6667ecb9c063c472004773d4326313377153b52887b3b0ae|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T04:10:22.957754685Z|2025-11-14T04:10:23.874754367Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed||Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T04:10:45.410345681Z|2025-11-14T04:10:53.337815449Z|test001|https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp|_e5d69b1004c26886a567c037f78efe34|password|2025-11-14T04:10:52.957153776Z||AAdzZWNyZXQxArthEc8btJJvEoltdOU6gD1HbJhenhb4m0YZmxz0Rd+fpvNnR/EZvg71nOL70zPMBx/vn/xCd6N97hQsBWOZttsI1lKXqsoFnoWtOL1qU7jiJaOq10OpqOCKr4gQoOSkHGs5nGaxvNk6atpq5Z/EFgoAHqvR|transient|false|false|AES128-GCM|Redirect|POST||Success||35a696f6adf2c299506546eef0b115095f3183d4d37d9e0d303e41c7081b992c|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T04:54:55.589939432Z|2025-11-14T04:54:55.702013731Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed|35a696f6adf2c299506546eef0b115095f3183d4d37d9e0d303e41c7081b992c|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T04:59:23.313314398Z|2025-11-14T04:59:23.370473786Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed|35a696f6adf2c299506546eef0b115095f3183d4d37d9e0d303e41c7081b992c|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T04:59:38.692471272Z|2025-11-14T04:59:38.771254145Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed|35a696f6adf2c299506546eef0b115095f3183d4d37d9e0d303e41c7081b992c|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T05:04:35.541398586Z|2025-11-14T05:04:36.496283178Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed|35a696f6adf2c299506546eef0b115095f3183d4d37d9e0d303e41c7081b992c|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
172.20.0.3|2025-11-14T05:04:54.095169251Z|2025-11-14T05:04:54.150749067Z||https://nogshib-sp.cis.ibaraki.ac.jp/shibboleth-sp||||||||false||Redirect|POST||Requester|urn:oasis:names:tc:SAML:2.0:status:AuthnFailed|35a696f6adf2c299506546eef0b115095f3183d4d37d9e0d303e41c7081b992c|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
